@relation 'openjpa_pkg_prediction_change-weka.filters.unsupervised.attribute.Remove-R1-2,8-10-weka.filters.supervised.instance.SMOTE-C2-K5-P4966.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P5427.0-S1-weka.filters.unsupervised.attribute.Add-NClone_Comp-C5-W1.0-weka.filters.unsupervised.attribute.Add-NLogical_Dependency-C2-W1.0-weka.filters.unsupervised.instance.Resample-S1-Z50.0-weka.filters.unsupervised.attribute.Add-NConcern_Overload-C3-W1.0-weka.filters.unsupervised.attribute.Add-NScattered_Parasitic_Functionality-C5-W1.0-weka.filters.unsupervised.attribute.Add-NDependency_Cycle-C10-W1.0'

@attribute Label {a,b,c}
@attribute Logical_Dependency numeric
@attribute Concern_Overload numeric
@attribute Link_Overload numeric
@attribute Scattered_Parasitic_Functionality numeric
@attribute Unused_Interface numeric
@attribute Brick_Functionality_Overload numeric
@attribute Clone_Comp numeric
@attribute Sloopy_Delegation numeric
@attribute Dependency_Cycle numeric

@data
c,0,0,1,0,0,0.249575,0,1,0
b,0,0,0.725441,0,0,0,0,0,0
b,0,0,1,0,0,0.733114,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0.557412,0,1,0
b,0,0,1,0,0,0.649901,0,1,0
b,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,1,0,0.837154,0
b,0,0,1,0,0,0,0,0.999737,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0.774405,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0.440159,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
b,0,0,1,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
c,0,0,0,0,0,0,0,1,0
b,0,0,1,0,0,0,0,0.465418,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,1,0,0.041563,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,0.034901,0,1,0
c,0,0,1,0,0,0,0,1,0
b,0,0,0.108722,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
b,0,0,0.68173,0,0,0,0,0.588667,0
b,0,0,1,0,0,0.334202,0,1,0
a,0,0,0,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0.335709,0,0.987785,0
c,0,0,1,0,0,0.683484,0,1,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0.979018,0,0.285882,0
c,0,0,1,0,0,1,0,0.567993,0
a,0,0,0,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,1,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0.292956,0,1,0
c,0,0,1,0,0,1,0,0.733129,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,1,0,0.866174,0
c,0,0,1,0,0,0.821172,0,1,0
b,0,0,1,0,0,0,0,0.754599,0
a,0,0,1,0,0,0,0,0,0
b,0,0,1,0,0,0.644012,0,1,0
c,0,0,1,0,0,1,0,0.143624,0
c,0,0,0.347117,0,0,0,0,1,0
a,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,1,0,0.044117,0
b,0,0,1,0,0,0.303367,0,1,0
b,0,0,0.110868,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0.328039,0,1,0
a,0,0,1,0,0,1,0,0,0
a,0,0,1,0,0,0,0,0,0
b,0,0,1,0,0,1,0,0,0
b,0,0,1,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,1,0,1,0
a,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0.352913,0,0,0,0,0.162014,0
b,0,0,1,0,0,1,0,0.947709,0
c,0,0,1,0,0,0.133875,0,1,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,1,0,0,0
a,0,0,1,0,0,1,0,0,0
c,0,0,0.078075,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
b,0,0,1,0,0,1,0,0.18251,0
a,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,0,0,0,0
c,0,0,1,0,0,0.198644,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,1,0,0,0
b,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,0.008057,0,1,0
b,0,0,0.026457,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0.037585,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
a,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
c,0,0,0.698924,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,0.592379,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,1,0,0.832853,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0.494818,0
b,0,0,1,0,0,0,0,0.633051,0
b,0,0,1,0,0,0.67392,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0.92799,0,0,0,0,0,0
b,0,0,0.35718,0,0,0,0,0.600708,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,0,0,0.745657,0
c,0,0,1,0,0,0.186013,0,1,0
c,0,0,1,0,0,0.195661,0,1,0
b,0,0,1,0,0,0.239394,0,1,0
b,0,0,1,0,0,1,0,1,0
a,0,0,0,0,1,0,0,0,0
a,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,1,0,0,0
b,0,0,1,0,0,0,0,0.426666,0
b,0,0,0.615056,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
c,0,0,1,0,0,1,0,0.291917,0
c,0,0,1,0,0,1,0,0.792929,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,1,0,0.965501,0
b,0,0,1,0,0,0.799071,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0.704444,0,0,0,0,0.93898,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,0,0,0.081628,0
b,0,0,1,0,0,0.828388,0,0,0
c,0,0,1,0,0,0.371746,0,1,0
c,0,0,0.347117,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0.463767,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0.683484,0,1,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,1,0,0.792929,0
b,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0.598816,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0.768814,0,1,0
b,0,0,0.516721,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0.980081,0,0,0,0,0.910473,0
a,0,0,1,0,0,1,0,1,0
a,0,0,1,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0.907264,0,1,0
c,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,0.895766,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,1,0,0.829101,0
b,0,0,1,0,0,0.644012,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0.427764,0,1,0
b,0,0,1,0,0,1,0,0.655635,0
c,0,0,1,0,0,0.526104,0,1,0
b,0,0,1,0,0,1,0,0.812294,0
c,0,0,0.316073,0,0,0,0,1,0
c,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0.85405,0,1,0
c,0,0,1,0,0,0.241336,0,0.898063,0
c,0,0,0.897252,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,1,0,0.449382,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,1,0,0.678846,0
b,0,0,1,0,0,0,0,0.939537,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0.278878,0,1,0
b,0,0,1,0,0,0.048951,0,1,0
b,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
b,0,0,1,0,0,0.905521,0,1,0
b,0,0,1,0,0,0.167883,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,1,0,0.088509,0
a,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
b,0,0,1,0,0,0.048951,0,1,0
c,0,0,1,0,0,0,0,1,0
c,0,0,0.650625,0,0,0,0,1,0
b,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,0.876915,0,1,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,1,0,0,0
b,0,0,1,0,0,0.733114,0,1,0
c,0,0,1,0,0,0.758247,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,1,0,0,0
b,0,0,1,0,0,0.303367,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0.608147,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,1,0,0.171158,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
a,0,0,1,0,0,0,0,0,0
b,0,0,1,0,0,0.257574,0,1,0
c,0,0,1,0,0,0.306022,0,1,0
b,0,0,1,0,0,1,0,0.990752,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
a,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,0,0,0.642027,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,0.406541,0,1,0
b,0,0,1,0,0,1,0,1,0
a,0,0,1,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0.031149,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0.963236,0
b,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0.297604,0
b,0,0,1,0,0,0,0,0,0
a,0,0,0,0,0,0,0,1,0
b,0,0,0.447821,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0.228959,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0.491337,0
a,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,0.406541,0,1,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,1,0,0.18251,0
a,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0,0,0.202437,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,1,0,0.686809,0
c,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,0.71746,0,1,0
b,0,0,1,0,0,1,0,1,0
b,0,0,0.807149,0,0,0,0,0,0
b,0,0,1,0,0,1,0,0.449382,0
b,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,1,0,0.498694,0
a,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,1,0,0,0
b,0,0,1,0,0,0,0,0.196371,0
c,0,0,1,0,0,1,0,0.236245,0
b,0,0,1,0,0,0.940816,0,0,0
c,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,1,0,0,0
b,0,0,0.372877,0,0,0,0,0.593338,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,1,0,0,0
b,0,0,1,0,0,0.696937,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0.130106,0,0,0
c,0,0,0.63336,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,1,0,1,0
a,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,0.303367,0,1,0
c,0,0,0.227492,0,0,0,0,1,0
b,0,0,1,0,0,0,0,0.745657,0
c,0,0,1,0,0,0.47397,0,1,0
a,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,0.662026,0,1,0
c,0,0,1,0,0,0.813986,0,1,0
b,0,0,1,0,0,1,0,0.510919,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0.828388,0,0,0
b,0,0,1,0,0,0,0,1,0
b,0,0,0.91137,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,0.406014,0,0,0,0,0.845586,0
b,0,0,0.686792,0,0,0,0,0.104606,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0.062958,0,0.485811,0
b,0,0,1,0,0,0,0,0.745091,0
a,0,0,0,0,0,0,0,1,0
c,0,0,0.607251,0,0,0,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,0,0,0,0,0,1,0
b,0,0,1,0,0,1,0,0.771869,0
b,0,0,1,0,0,1,0,0.49253,0
b,0,0,1,0,0,1,0,0.852172,0
c,0,0,0.783278,0,0,0,0,1,0
a,0,0,1,0,0,1,0,1,0
b,0,0,1,0,0,1,0,0.734611,0
b,0,0,1,0,0,0,0,0,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,1,0,0,0
a,0,0,0,0,0,1,0,1,0
b,0,0,0.156539,0,0,0,0,0,0
b,0,0,1,0,0,0.998487,0,1,0
b,0,0,1,0,0,1,0,1,0
c,0,0,1,0,0,0.53777,0,1,0
a,0,0,0,0,0,0,0,0,0
b,0,0,1,0,0,0.799071,0,0,0
b,0,0,0.035829,0,0,0,0,0.322,0
c,0,0,1,0,0,1,0,0.24272,0
a,0,0,0,0,0,0,0,1,0
c,0,0,1,0,0,0.67435,0,1,0
c,0,0,1,0,0,0,0,1,0
a,0,0,1,0,0,0,0,1,0
b,0,0,1,0,0,1,0,0,0
c,0,0,1,0,0,1,0,0.627699,0
c,0,0,1,0,0,0,0,1,0
c,0,0,1,0,0,0.758247,0,1,0
b,0,0,1,0,0,0.828388,0,0,0
